"taxon_name","taxon_authors","genus","family","powo_dist","lifeform_description","climate_description","Morni","Chail","Churdhar"
"Abelmoschus crinitus","Wall.","Abelmoschus","Malvaceae","Native","sometimes tuberous subshrub","seasonally dry tropical",1,0,0
"Abrus precatorius","L.","Abrus","Fabaceae","Native","climbing shrub","seasonally dry tropical",1,0,1
"Abutilon hirtum","(Lam.) Sweet","Abutilon","Malvaceae","Native","subshrub or shrub","seasonally dry tropical",1,0,0
"Abutilon indicum","(L.) Sweet","Abutilon","Malvaceae","Native","annual or shrub","seasonally dry tropical",1,0,0
"Senegalia caesia","(L.) Maslin, Seigler & Ebinger","Senegalia","Fabaceae","Native","scrambling shrub or tree","seasonally dry tropical",1,0,0
"Senegalia catechu","(L.f.) P.J.H.Hurter & Mabb.","Senegalia","Fabaceae","Native","tree","seasonally dry tropical",1,1,0
"Vachellia farnesiana","(L.) Wight & Arn.","Vachellia","Fabaceae","Introduced","tree","wet tropical",1,0,0
"Vachellia leucophloea","(Roxb.) Maslin, Seigler & Ebinger","Vachellia","Fabaceae","Native","shrub or tree","seasonally dry tropical",1,0,0
"Senegalia modesta","(Wall.) P.J.H.Hurter","Senegalia","Fabaceae","Native","tree","seasonally dry tropical",1,0,0
"Vachellia nilotica","(L.) P.J.H.Hurter & Mabb.","Vachellia","Fabaceae","Native","scrambling shrub or tree","desert or dry shrubland",1,0,0
"Senegalia pennata","(L.) Maslin","Senegalia","Fabaceae","Native","climbing shrub or tree","seasonally dry tropical",1,0,0
"Senegalia torta","(Roxb.) Maslin, Seigler & Ebinger","Senegalia","Fabaceae","Native","scrambling shrub","seasonally dry tropical",1,0,0
"Acanthospermum hispidum","DC.","Acanthospermum","Asteraceae","Introduced","annual","seasonally dry tropical",1,0,0
"Achyranthes aspera","L.","Achyranthes","Amaranthaceae","Native","annual or subshrub","subtropical",1,1,0
"Achyranthes bidentata","Blume","Achyranthes","Amaranthaceae","Native","subshrub","seasonally dry tropical",1,1,0
"Acilepis dendigulensis","(DC.) H.Rob.","Acilepis","Asteraceae","Native",NA,NA,1,0,0
"Acmella uliginosa","(Sw.) Cass.","Acmella","Asteraceae","Introduced","annual","seasonally dry tropical",1,0,0
"Acorus calamus","L.","Acorus","Acoraceae","Native","perennial or rhizomatous geophyte","temperate",1,0,1
"Adenostemma lavenia","(L.) Kuntze","Adenostemma","Asteraceae","Native","perennial","subtropical",1,0,0
"Justicia adhatoda","L.","Justicia","Acanthaceae","Native","shrub or tree","seasonally dry tropical",1,1,1
"Adiantum caudatum","L.","Adiantum","Pteridaceae","Native","rhizomatous geophyte or epiphyte","wet tropical",1,0,0
"Adina cordifolia","(Roxb.) Brandis","Adina","Rubiaceae","Native","tree","wet tropical",1,0,0
"Aegle marmelos","(L.) Corrêa","Aegle","Rutaceae","Native","tree","wet tropical",1,1,1
"Ouret sanguinolenta","(L.) Kuntze","Ouret","Amaranthaceae","Native","annual or subshrub","wet tropical",1,1,0
"Aeschynomene indica","L.","Aeschynomene","Fabaceae","Native","annual, perennial or subshrub","seasonally dry tropical",1,0,0
"Agave americana","L.","Agave","Asparagaceae","Native","succulent perennial","seasonally dry tropical",1,0,0
"Agave vivipara","L.","Agave","Asparagaceae","Introduced","succulent perennial","desert or dry shrubland",1,0,0
"Ageratina adenophora","(Spreng.) R.M.King & H.Rob.","Ageratina","Asteraceae","Introduced","shrub","seasonally dry tropical",1,1,1
"Ageratum conyzoides","L.","Ageratum","Asteraceae","Introduced","annual or subshrub","seasonally dry tropical",1,1,1
"Ageratum houstonianum","Mill.","Ageratum","Asteraceae","Introduced","annual or perennial","subtropical",1,0,0
"Ailanthus excelsa","Roxb.","Ailanthus","Simaroubaceae","Native","tree","seasonally dry tropical",1,0,0
"Ajuga integrifolia","Buch.-Ham. ex D.Don","Ajuga","Lamiaceae","Native","perennial","subtropical",1,1,1
"Ajuga macrosperma","Wall. ex Benth.","Ajuga","Lamiaceae","Native","perennial","subtropical",1,0,0
"Ajuga parviflora","Benth.","Ajuga","Lamiaceae","Native","annual or biennial","temperate",1,0,1
"Albizia chinensis","(Osbeck) Merr.","Albizia","Fabaceae","Native","tree","wet tropical",1,1,1
"Albizia lebbeck","(L.) Benth.","Albizia","Fabaceae","Native","tree","seasonally dry tropical",1,1,0
"Albizia odoratissima","(L.f.) Benth.","Albizia","Fabaceae","Native","tree","seasonally dry tropical",1,0,0
