species,longitude,latitude,reference
Abies pindrow,77.37,31.75,Paul2019
Abies pindrow,77.7,31.36,Paul2019
Abies pindrow,77.69,31.36,Paul2019
Abies pindrow,77.96,31.23,Paul2019
Abies pindrow,77.62,31.12,Paul2019
Abies pindrow,77.54,30.98,Paul2019
Abies pindrow,76.17,32.93,Paul2019
Abies pindrow,77.30972222,32.24805556,Rawat2010
Abies pindrow,76.72972222,32.78527778,Rawat2010
Abies pindrow,77.325,31.89277778,Sharma2013
Abies pindrow,77.33111111,31.89111111,Sharma2013
Abies pindrow,77.28972222,32.09222222,Sharma2013
Abies pindrow,80.21253889,30.06418889,Shekhar2022
Abies pindrow,77.4675,31.75416667,Singh2021
Abies pindrow,77.46638889,31.74472222,Singh2021
Abies pindrow,77.45222222,31.76638889,Singh2021
Abies pindrow,77.67778333,31.80808333,Singh2021
Abies pindrow,77.43493333,31.87336667,Singh2021
Abies pindrow,77.42248333,31.8583,Singh2021
Abies pindrow,77.39826667,31.68635,Singh2021
Abies pindrow,77.51083333,31.66333333,Singh2021
Abies pindrow,77.51305,31.66051667,Singh2021
Abies pindrow,77.51578333,31.6654,Singh2021
Abies pindrow,77.5181,31.67293333,Singh2021
Abies pindrow,77.51486667,31.66053333,Singh2021
Abies pindrow,77.51141667,31.66065,Singh2021
Abies pindrow,77.5235,31.67381833,Singh2021
Abies pindrow,78.51466667,30.91752778,Tiwari2018
Abies pindrow,78.76969444,30.656,Tiwari2023
Abies pindrow,78.27475,30.40961111,Tiwari2023
Abies pindrow,78.29588889,30.41322222,Tiwari2023
Abies pindrow,79.43083333,30.64522222,Tiwari2023
Abies pindrow,78.58458333,30.81627778,Tiwari2023
Abies pindrow,78.49916667,30.41522222,Tiwari2023
Abies pindrow,78.668,30.40813889,Sharma2018
Abies pindrow,78.76969444,30.81627778,Sharma2018
Abies pindrow,78.79305556,30.83227778,Sharma2018
Abies spectabilis,80.21253889,30.06418889,Shekhar2022
Abies spectabilis,80.648575,30.029925,Shekhar2022
Abies spectabilis,77.51706667,31.669,Singh2021
Abies spectabilis,78.55905556,30.8265,Tiwari2018
Abies spectabilis,78.56522222,30.65358333,Tiwari2023
Abies spectabilis,78.76969444,30.81627778,Sharma2018
Abies spectabilis,78.77002778,30.83141667,Sharma2018
Abies spectabilis,78.79305556,30.83227778,Sharma2018
Acacia catechu,78.71938889,29.93358333,Sharma2018
Acer acuminatum,77.4,31.74,Paul2019
Acer acuminatum,77.38,31.75,Paul2019
Acer acuminatum,77.37,31.75,Paul2019
Acer acuminatum,76.43,32.99,Paul2019
Acer acuminatum,77.4,31.82,Paul2019
Acer acuminatum,76.34,32.84,Paul2019
Acer acuminatum,76.42,32.96,Paul2019
Acer acuminatum,78.34,31.4,Paul2019
Acer acuminatum,77.7,31.36,Paul2019
Acer acuminatum,77.96,31.23,Paul2019
Acer acuminatum,77.54,30.98,Paul2019
Acer acuminatum,77.44,32.02,Paul2019
Acer acuminatum,76.17,32.93,Paul2019
Acer acuminatum,76.36,32.7,Paul2019
Acer acuminatum,77.41833333,32,Sharma2013
Acer acuminatum,77.51153333,31.80753333,Singh2021
Acer acuminatum,77.42268333,31.86341667,Singh2021
Acer acuminatum,77.39826667,31.68635,Singh2021
Acer acuminatum,77.48965,31.69165,Singh2021
Acer acuminatum,77.48826667,31.69043333,Singh2021
Acer acuminatum,77.51141667,31.66065,Singh2021
Acer acuminatum,77.56046667,31.70483333,Singh2021
Acer acuminatum,78.76969444,30.656,Tiwari2023
Acer acuminatum,79.43083333,30.64522222,Tiwari2023
Acer acuminatum,78.76969444,30.81627778,Sharma2018
Acer acuminatum,78.77002778,30.83141667,Sharma2018
Acer caesium,77.5181,31.67293333,Singh2021
Acer cappadocicum,77.4,31.75,Paul2019
Acer cappadocicum,77.5,31.79,Paul2019
Acer cappadocicum,76.35,32.7,Paul2019
Acer cappadocicum,77.45027778,31.9975,Sharma2013
Acer cappadocicum,77.51706667,31.669,Singh2021
Achmenthera gossypium,79.56893917,29.42036889,Bargali2022
Achmenthera gossypium,79.46125139,29.34672389,Bargali2022
Achmenthera gossypium,79.44346972,29.42892667,Bargali2022
Achmenthera gossypium,78.15411111,29.95457778,Bargali2022
Achyranthes aspera,79.34796389,29.285375,Pandey2023
Aegle marmelos,79.34796389,29.285375,Pandey2023
Aesculus indica,75.95811667,32.54073333,Barman2023
Aesculus indica,76.04736667,32.53568333,Barman2023
Aesculus indica,77.4,31.74,Paul2019
Aesculus indica,77.38,31.75,Paul2019
Aesculus indica,77.37,31.75,Paul2019
Aesculus indica,77.47,31.79,Paul2019
Aesculus indica,76.17,32.93,Paul2019
Aesculus indica,76.35,32.7,Paul2019
Aesculus indica,77.35805556,31.82972222,Sharma2013
Aesculus indica,77.38194444,31.99611111,Sharma2013
Aesculus indica,77.41138889,32.00194444,Sharma2013
Aesculus indica,77.34916667,31.89027778,Sharma2013
Aesculus indica,77.32416667,31.89222222,Sharma2013
Aescuslus indica,77.35166667,31.76861111,Sharma2013
Ageratina adenophora,79.57608333,29.37288889,KumarMukesh2021
Ageratina adenophora,79.5945,29.38236111,KumarMukesh2021
Ageratina adenophora,79.52277778,29.37319444,KumarMukesh2021
Ajuga bracteosa,79.65471611,29.23717944,Bargali2022
Ajuga bracteosa,79.53938056,29.49164222,Bargali2022
Ajuga bracteosa,79.65471611,29.23717944,Bargali2022
Ajuga bracteosa,79.63745083,29.39074889,Bargali2022
