"ID","species","latitude","longitude","reference","trees","elevation","LL","UL"
4,"Quercus semecarpifolia",31.014091,78.411398,"GBIF2023",0.924399971961975,3214,2500,3500
5,"Quercus semecarpifolia",30.411189,78.285098,"GBIF2023",0.793799996376038,2586,2500,3500
15,"Mallotus philippensis",30.083355,78.133221,"GBIF2023",0.897800028324127,421,300,2000
19,"Rhododendron arboreum",30.411189,78.285098,"GBIF2023",0.793799996376038,2586,1500,3000
21,"Lyonia ovalifolia",30.411189,78.285098,"GBIF2023",0.793799996376038,2586,1500,3000
23,"Lyonia ovalifolia",29.645971,79.435546,"GBIF2023",0.716099977493286,1690,1500,3000
24,"Lyonia ovalifolia",30.930308,78.40054,"GBIF2023",0.599900007247925,2163,1500,3000
25,"Lyonia ovalifolia",30.470951,78.047337,"GBIF2023",0.898899972438812,1854,1500,3000
27,"Shorea robusta",29.519694,78.943382,"GBIF2023",0.999100029468536,631,300,1500
33,"Rhododendron arboreum",29.73,79.67,"GBIF2023",0.992200016975403,1870,1500,3000
35,"Quercus lanata",29.73,79.67,"GBIF2023",0.992200016975403,1870,1500,3000
41,"Quercus lanata",30.15,80.25,"GBIF2023",0.754400014877319,1675,1500,3000
45,"Lyonia ovalifolia",29.73,79.67,"GBIF2023",0.992200016975403,1870,1500,3000
63,"Lyonia ovalifolia",32.252911,76.339035,"GBIF2023",0.916000008583069,2224,1500,3000
88,"Lyonia ovalifolia",30.455452,78.102273,"GBIF2023",0.937300026416779,2138,1500,3000
89,"Lyonia ovalifolia",29.403563,79.557483,"GBIF2023",0.989199995994568,2003,1500,3000
90,"Rhododendron arboreum",30.459789,78.064372,"GBIF2023",0.754899978637695,2005,1500,3000
116,"Rhododendron arboreum",30.082832,80.220757,"GBIF2023",0.715699970722198,2723,1500,3000
123,"Rhododendron arboreum",30.067158,79.910892,"GBIF2023",0.835399985313416,2999,1500,3000
126,"Rhododendron arboreum",29.460413,79.655824,"GBIF2023",0.955600023269653,2255,1500,3000
137,"Mallotus philippensis",31.778995,76.990395,"GBIF2023",0.75629997253418,1088,300,2000
164,"Cedrus deodara",30.147114,78.774539,"GBIF2023",0.658100008964539,1691,1500,2500
174,"Cedrus deodara",29.661204,79.691551,"GBIF2023",0.755500018596649,1714,1500,2500
175,"Mallotus philippensis",31.457923,77.661057,"GBIF2023",0.759500026702881,1149,300,2000
182,"Quercus leucotrichophora",32.257724,76.325352,"GBIF2023",0.892599999904633,2167,1500,2500
