"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9447,"PercLoss",-29.615,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9727,"PercLoss",-26.839,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable0",331990,"PercLoss",-29.615,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable0",327816,"PercLoss",-26.839,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable1",22452,"PercLoss",-29.615,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable1",26515,"PercLoss",-26.839,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Gain",1627,"PercLoss",-29.615,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Gain",1458,"PercLoss",-26.839,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9447,"PercGain",5.1,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9727,"PercGain",4.023,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable0",331990,"PercGain",5.1,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable0",327816,"PercGain",4.023,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable1",22452,"PercGain",5.1,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable1",26515,"PercGain",4.023,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Gain",1627,"PercGain",5.1,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Gain",1458,"PercGain",4.023,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9447,"SpeciesRangeChange",-24.515,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9727,"SpeciesRangeChange",-22.816,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable0",331990,"SpeciesRangeChange",-24.515,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable0",327816,"SpeciesRangeChange",-22.816,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable1",22452,"SpeciesRangeChange",-24.515,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Stable1",26515,"SpeciesRangeChange",-22.816,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Gain",1627,"SpeciesRangeChange",-24.515,"CurrentRangeSize",31899
"Lyonia.ovalifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Gain",1458,"SpeciesRangeChange",-22.816,"CurrentRangeSize",36242
"Lyonia.ovalifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Lyonia.ovalifolia","Loss",9447,"PercLoss",-29.615,"FutureRangeSize.NoDisp",22452
