"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",9323,"PercLoss",-19.178,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",8052,"PercLoss",-16.62,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",313819,"PercLoss",-19.178,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314169,"PercLoss",-16.62,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",39291,"PercLoss",-19.178,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40395,"PercLoss",-16.62,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",3083,"PercLoss",-19.178,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2900,"PercLoss",-16.62,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",9323,"PercGain",6.342,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",8052,"PercGain",5.986,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",313819,"PercGain",6.342,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314169,"PercGain",5.986,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",39291,"PercGain",6.342,"CurrentRangeSize",48614
