"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"PercLoss",-25.943,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"PercLoss",-19.491,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"PercLoss",-25.943,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"PercLoss",-19.491,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"PercLoss",-25.943,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"PercLoss",-19.491,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"PercLoss",-25.943,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"PercLoss",-19.491,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"PercGain",0.45,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"PercGain",0.306,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"PercGain",0.45,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"PercGain",0.306,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"PercGain",0.45,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"PercGain",0.306,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"PercGain",0.45,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"PercGain",0.306,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"SpeciesRangeChange",-25.494,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"SpeciesRangeChange",-19.185,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"SpeciesRangeChange",-25.494,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"SpeciesRangeChange",-19.185,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"SpeciesRangeChange",-25.494,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"SpeciesRangeChange",-19.185,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"SpeciesRangeChange",-25.494,"CurrentRangeSize",60956
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"SpeciesRangeChange",-19.185,"CurrentRangeSize",65998
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"PercLoss",-25.943,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"PercLoss",-19.491,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"PercLoss",-25.943,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"PercLoss",-19.491,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"PercLoss",-25.943,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"PercLoss",-19.491,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"PercLoss",-25.943,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"PercLoss",-19.491,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"PercGain",0.45,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"PercGain",0.306,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"PercGain",0.45,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"PercGain",0.306,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"PercGain",0.45,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"PercGain",0.306,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"PercGain",0.45,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"PercGain",0.306,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"SpeciesRangeChange",-25.494,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"SpeciesRangeChange",-19.185,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"SpeciesRangeChange",-25.494,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"SpeciesRangeChange",-19.185,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"SpeciesRangeChange",-25.494,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"SpeciesRangeChange",-19.185,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"SpeciesRangeChange",-25.494,"FutureRangeSize.NoDisp",45142
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"SpeciesRangeChange",-19.185,"FutureRangeSize.NoDisp",53134
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"PercLoss",-25.943,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"PercLoss",-19.491,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"PercLoss",-25.943,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"PercLoss",-19.491,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"PercLoss",-25.943,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"PercLoss",-19.491,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"PercLoss",-25.943,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"PercLoss",-19.491,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"PercGain",0.45,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"PercGain",0.306,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"PercGain",0.45,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"PercGain",0.306,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"PercGain",0.45,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"PercGain",0.306,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"PercGain",0.45,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"PercGain",0.306,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",15814,"SpeciesRangeChange",-25.494,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12864,"SpeciesRangeChange",-19.185,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304286,"SpeciesRangeChange",-25.494,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299316,"SpeciesRangeChange",-19.185,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",45142,"SpeciesRangeChange",-25.494,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",53134,"SpeciesRangeChange",-19.185,"FutureRangeSize.FullDisp",53336
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",274,"SpeciesRangeChange",-25.494,"FutureRangeSize.FullDisp",45416
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",202,"SpeciesRangeChange",-19.185,"FutureRangeSize.FullDisp",53336
