"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Loss",20542,"PercLoss",-35.061,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Loss",18025,"PercLoss",-32.916,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable0",305489,"PercLoss",-35.061,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable0",309517,"PercLoss",-32.916,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable1",38048,"PercLoss",-35.061,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable1",36736,"PercLoss",-32.916,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Gain",1437,"PercLoss",-35.061,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Gain",1238,"PercLoss",-32.916,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Loss",20542,"PercGain",2.453,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Loss",18025,"PercGain",2.261,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable0",305489,"PercGain",2.453,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable0",309517,"PercGain",2.261,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable1",38048,"PercGain",2.453,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable1",36736,"PercGain",2.261,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Gain",1437,"PercGain",2.453,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Gain",1238,"PercGain",2.261,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Loss",20542,"SpeciesRangeChange",-32.608,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Loss",18025,"SpeciesRangeChange",-30.655,"CurrentRangeSize",54761
"Quercus.lanata_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable0",305489,"SpeciesRangeChange",-32.608,"CurrentRangeSize",58590
"Quercus.lanata_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.lanata","Stable0",309517,"SpeciesRangeChange",-30.655,"CurrentRangeSize",54761
