"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"PercLoss",-30.282,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"PercLoss",-16.587,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"PercLoss",-30.282,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"PercLoss",-16.587,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"PercLoss",-30.282,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"PercLoss",-16.587,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"PercLoss",-30.282,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"PercLoss",-16.587,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"PercGain",14.882,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"PercGain",26.203,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"PercGain",14.882,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"PercGain",26.203,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"PercGain",14.882,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"PercGain",26.203,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"PercGain",14.882,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"PercGain",26.203,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"SpeciesRangeChange",-15.401,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"SpeciesRangeChange",9.616,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"SpeciesRangeChange",-15.401,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"SpeciesRangeChange",9.616,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"SpeciesRangeChange",-15.401,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"SpeciesRangeChange",9.616,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"SpeciesRangeChange",-15.401,"CurrentRangeSize",17350
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"SpeciesRangeChange",9.616,"CurrentRangeSize",20902
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"PercLoss",-30.282,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"PercLoss",-16.587,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"PercLoss",-30.282,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"PercLoss",-16.587,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"PercLoss",-30.282,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"PercLoss",-16.587,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"PercLoss",-30.282,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"PercLoss",-16.587,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"PercGain",14.882,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"PercGain",26.203,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"PercGain",14.882,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"PercGain",26.203,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"PercGain",14.882,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"PercGain",26.203,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"PercGain",14.882,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"PercGain",26.203,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"SpeciesRangeChange",-15.401,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"SpeciesRangeChange",9.616,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"SpeciesRangeChange",-15.401,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"SpeciesRangeChange",9.616,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"SpeciesRangeChange",-15.401,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"SpeciesRangeChange",9.616,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"SpeciesRangeChange",-15.401,"FutureRangeSize.NoDisp",12096
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"SpeciesRangeChange",9.616,"FutureRangeSize.NoDisp",17435
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"PercLoss",-30.282,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"PercLoss",-16.587,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"PercLoss",-30.282,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"PercLoss",-16.587,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"PercLoss",-30.282,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"PercLoss",-16.587,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"PercLoss",-30.282,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"PercLoss",-16.587,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"PercGain",14.882,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"PercGain",26.203,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"PercGain",14.882,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"PercGain",26.203,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"PercGain",14.882,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"PercGain",26.203,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"PercGain",14.882,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"PercGain",26.203,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",5254,"SpeciesRangeChange",-15.401,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Loss",3467,"SpeciesRangeChange",9.616,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",345584,"SpeciesRangeChange",-15.401,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable0",339137,"SpeciesRangeChange",9.616,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",12096,"SpeciesRangeChange",-15.401,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Stable1",17435,"SpeciesRangeChange",9.616,"FutureRangeSize.FullDisp",22912
"Quercus.leucotrichophora_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",2582,"SpeciesRangeChange",-15.401,"FutureRangeSize.FullDisp",14678
"Quercus.leucotrichophora_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.leucotrichophora","Gain",5477,"SpeciesRangeChange",9.616,"FutureRangeSize.FullDisp",22912
