"x","y","value"
75.5040267558,32.8123606199,1
75.5123600891,32.8123606199,1
75.5290267557,32.8040272866,1
75.537360089,32.78736062,1
75.5206934224,32.7790272867,1
75.5290267557,32.7790272867,1
75.537360089,32.7790272867,1
75.5456934223,32.7790272867,1
75.5540267556,32.7790272867,1
75.5623600889,32.7790272867,1
75.5706934222,32.7790272867,1
75.5873600888,32.7790272867,1
75.5956934221,32.7790272867,1
75.6040267554,32.7790272867,1
75.5040267558,32.7706939534,1
75.5123600891,32.7706939534,0.5
75.5206934224,32.7706939534,1
75.5290267557,32.7706939534,1
75.5623600889,32.7706939534,1
75.5706934222,32.7706939534,1
75.5040267558,32.7623606201,1
75.5123600891,32.7623606201,1
75.5206934224,32.7623606201,0.5
75.5290267557,32.7623606201,0.5
75.537360089,32.7623606201,1
75.5456934223,32.7623606201,1
75.6040267554,32.7623606201,1
75.5456934223,32.7540272868,1
75.5956934221,32.7540272868,1
75.6040267554,32.7540272868,1
75.537360089,32.7456939535,1
75.5456934223,32.7456939535,1
75.5540267556,32.7456939535,1
75.5623600889,32.7456939535,0.5
75.5706934222,32.7456939535,1
75.5956934221,32.7456939535,1
75.6123600887,32.7456939535,1
75.620693422,32.7456939535,1
75.6456934219,32.7456939535,1
75.5456934223,32.7373606202,1
75.5540267556,32.7373606202,1
75.5623600889,32.7373606202,1
75.5706934222,32.7373606202,1
75.5873600888,32.7373606202,1
75.5956934221,32.7373606202,1
75.6290267553,32.7373606202,1
75.6373600886,32.7373606202,1
75.6456934219,32.7373606202,1
75.6540267552,32.7373606202,1
75.5623600889,32.7290272869,0.5
75.5706934222,32.7290272869,1
75.5956934221,32.7290272869,1
75.6456934219,32.7290272869,1
75.6540267552,32.7290272869,1
75.5623600889,32.7206939536,1
75.5706934222,32.7206939536,0.5
75.5790267555,32.7206939536,1
75.5873600888,32.7206939536,1
75.5956934221,32.7206939536,1
75.6040267554,32.7206939536,1
75.6456934219,32.7206939536,1
75.6540267552,32.7206939536,1
75.6623600885,32.7206939536,1
75.5706934222,32.7123606203,1
75.5790267555,32.7123606203,1
75.5873600888,32.7123606203,1
75.5956934221,32.7123606203,1
75.6623600885,32.7123606203,1
75.6706934218,32.7123606203,1
75.5623600889,32.704027287,1
75.5706934222,32.704027287,1
75.5623600889,32.6956939537,1
75.5706934222,32.6956939537,1
75.6290267553,32.6706939538,0.5
75.6373600886,32.6706939538,1
75.6373600886,32.6623606205,1
75.7290267549,32.6456939539,1
76.3290267525,32.4956939545,1
76.4623600853,32.4873606212,1
76.4123600855,32.4790272879,1
76.454026752,32.4790272879,1
76.4623600853,32.4790272879,1
76.370693419,32.4706939546,1
76.4040267522,32.4706939546,1
76.4123600855,32.4706939546,1
76.4206934188,32.4706939546,1
76.4623600853,32.4706939546,1
76.4790267519,32.4706939546,1
76.4873600852,32.4706939546,1
76.12069342,32.4623606213,1
76.1456934199,32.4623606213,1
76.3456934191,32.4623606213,1
76.3540267524,32.4623606213,1
76.3623600857,32.4623606213,1
76.370693419,32.4623606213,1
76.3790267523,32.4623606213,1
76.3873600856,32.4623606213,1
76.3956934189,32.4623606213,1
76.4040267522,32.4623606213,1
76.4290267521,32.4623606213,1
76.4373600854,32.4623606213,1
76.4456934187,32.4623606213,1
76.4623600853,32.4623606213,1
76.4790267519,32.4623606213,1
76.4956934185,32.4623606213,1
76.5040267518,32.4623606213,1
76.5123600851,32.4623606213,1
76.5206934184,32.4623606213,1
76.5290267517,32.4623606213,1
76.537360085,32.4623606213,1
76.0956934201,32.454027288,1
76.1456934199,32.454027288,1
76.2790267527,32.454027288,1
76.287360086,32.454027288,1
76.4123600855,32.454027288,1
76.4206934188,32.454027288,1
76.4290267521,32.454027288,1
76.4373600854,32.454027288,1
76.4456934187,32.454027288,1
76.454026752,32.454027288,1
76.4623600853,32.454027288,1
76.4790267519,32.454027288,1
76.4873600852,32.454027288,1
76.5040267518,32.454027288,1
76.5123600851,32.454027288,1
76.5206934184,32.454027288,1
76.5290267517,32.454027288,1
76.537360085,32.454027288,1
76.5456934183,32.454027288,1
76.5706934182,32.454027288,1
76.5790267515,32.454027288,1
76.1040267534,32.4456939547,1
76.1123600867,32.4456939547,1
76.1706934198,32.4456939547,1
76.1790267531,32.4456939547,1
76.1873600864,32.4456939547,1
76.2373600862,32.4456939547,1
76.2456934195,32.4456939547,1
76.2540267528,32.4456939547,1
76.2623600861,32.4456939547,1
76.2706934194,32.4456939547,1
76.287360086,32.4456939547,1
76.370693419,32.4456939547,1
76.3790267523,32.4456939547,1
76.4040267522,32.4456939547,0.5
76.4123600855,32.4456939547,1
76.4206934188,32.4456939547,1
76.4373600854,32.4456939547,1
76.4456934187,32.4456939547,1
76.454026752,32.4456939547,1
76.4623600853,32.4456939547,1
76.4706934186,32.4456939547,1
76.4790267519,32.4456939547,1
76.4873600852,32.4456939547,1
76.4956934185,32.4456939547,1
76.5040267518,32.4456939547,1
76.5290267517,32.4456939547,1
76.537360085,32.4456939547,1
76.5456934183,32.4456939547,1
76.5540267516,32.4456939547,1
76.5623600849,32.4456939547,1
76.0623600869,32.4373606214,1
76.0706934202,32.4373606214,1
76.0790267535,32.4373606214,1
76.0873600868,32.4373606214,1
76.0956934201,32.4373606214,1
76.1040267534,32.4373606214,1
76.1540267532,32.4373606214,1
76.1623600865,32.4373606214,1
76.1706934198,32.4373606214,1
76.1956934197,32.4373606214,1
76.204026753,32.4373606214,1
76.2123600863,32.4373606214,1
76.2206934196,32.4373606214,1
76.2373600862,32.4373606214,1
76.3123600859,32.4373606214,1
76.3456934191,32.4373606214,1
76.3540267524,32.4373606214,1
76.3623600857,32.4373606214,1
76.370693419,32.4373606214,1
76.3790267523,32.4373606214,1
76.3956934189,32.4373606214,1
76.4040267522,32.4373606214,1
76.454026752,32.4373606214,1
76.4623600853,32.4373606214,1
76.4706934186,32.4373606214,1
76.4790267519,32.4373606214,1
76.4873600852,32.4373606214,1
76.4956934185,32.4373606214,1
76.537360085,32.4373606214,1
76.5456934183,32.4373606214,1
76.0623600869,32.4290272881,1
76.0706934202,32.4290272881,1
76.0790267535,32.4290272881,1
76.0873600868,32.4290272881,1
76.0956934201,32.4290272881,1
76.1040267534,32.4290272881,1
76.1123600867,32.4290272881,1
76.12069342,32.4290272881,1
76.1956934197,32.4290272881,1
76.204026753,32.4290272881,1
76.2206934196,32.4290272881,1
76.2290267529,32.4290272881,1
76.2373600862,32.4290272881,1
76.2790267527,32.4290272881,1
76.287360086,32.4290272881,1
76.2956934193,32.4290272881,1
76.3040267526,32.4290272881,1
76.3206934192,32.4290272881,1
76.3290267525,32.4290272881,1
76.3373600858,32.4290272881,1
76.3456934191,32.4290272881,1
76.3540267524,32.4290272881,1
76.3623600857,32.4290272881,1
76.370693419,32.4290272881,1
76.3790267523,32.4290272881,1
76.3956934189,32.4290272881,1
76.4040267522,32.4290272881,1
76.454026752,32.4290272881,1
76.4623600853,32.4290272881,1
76.4706934186,32.4290272881,1
76.4790267519,32.4290272881,1
76.4873600852,32.4290272881,1
76.4956934185,32.4290272881,1
76.0540267536,32.4206939548,1
76.0623600869,32.4206939548,0.5
76.0706934202,32.4206939548,1
76.0790267535,32.4206939548,0.5
76.0873600868,32.4206939548,0.5
76.0956934201,32.4206939548,1
76.1040267534,32.4206939548,0.5
76.1123600867,32.4206939548,0.5
76.12069342,32.4206939548,1
76.1290267533,32.4206939548,1
76.2206934196,32.4206939548,1
76.2290267529,32.4206939548,1
76.2790267527,32.4206939548,1
76.287360086,32.4206939548,1
76.2956934193,32.4206939548,1
76.3040267526,32.4206939548,1
76.3206934192,32.4206939548,1
76.3290267525,32.4206939548,1
76.3373600858,32.4206939548,1
76.3623600857,32.4206939548,1
76.370693419,32.4206939548,1
76.3790267523,32.4206939548,1
76.3873600856,32.4206939548,0.5
76.3956934189,32.4206939548,1
76.4040267522,32.4206939548,0.5
76.4123600855,32.4206939548,1
76.4790267519,32.4206939548,1
76.4873600852,32.4206939548,1
76.4956934185,32.4206939548,0.5
76.0540267536,32.4123606215,1
76.0623600869,32.4123606215,1
76.0706934202,32.4123606215,1
76.0790267535,32.4123606215,1
76.0873600868,32.4123606215,1
76.0956934201,32.4123606215,0.5
76.1040267534,32.4123606215,0.5
76.1123600867,32.4123606215,0.5
76.12069342,32.4123606215,1
76.1290267533,32.4123606215,1
76.1373600866,32.4123606215,1
76.1456934199,32.4123606215,1
76.1623600865,32.4123606215,1
76.2206934196,32.4123606215,1
76.287360086,32.4123606215,1
76.2956934193,32.4123606215,1
76.3040267526,32.4123606215,1
76.3123600859,32.4123606215,1
76.3206934192,32.4123606215,1
76.3290267525,32.4123606215,1
76.3623600857,32.4123606215,1
76.370693419,32.4123606215,1
76.3790267523,32.4123606215,0.5
76.3873600856,32.4123606215,1
76.3956934189,32.4123606215,0.5
76.4040267522,32.4123606215,0.5
76.4123600855,32.4123606215,1
76.4790267519,32.4123606215,1
76.4873600852,32.4123606215,1
76.4956934185,32.4123606215,1
76.5040267518,32.4123606215,1
76.5123600851,32.4123606215,1
76.0873600868,32.4040272882,0.5
76.0956934201,32.4040272882,1
76.1040267534,32.4040272882,1
76.1123600867,32.4040272882,1
76.12069342,32.4040272882,1
76.1290267533,32.4040272882,1
76.1373600866,32.4040272882,1
76.1456934199,32.4040272882,1
76.1540267532,32.4040272882,1
76.1623600865,32.4040272882,1
76.287360086,32.4040272882,1
76.2956934193,32.4040272882,1
76.3206934192,32.4040272882,1
76.3540267524,32.4040272882,1
76.3623600857,32.4040272882,0.5
76.370693419,32.4040272882,1
76.3790267523,32.4040272882,1
76.3873600856,32.4040272882,0.5
76.3956934189,32.4040272882,1
76.4040267522,32.4040272882,1
76.4123600855,32.4040272882,0.5
76.4206934188,32.4040272882,1
76.4790267519,32.4040272882,1
76.4873600852,32.4040272882,1
76.4956934185,32.4040272882,1
76.5040267518,32.4040272882,1
76.0873600868,32.3956939549,0.5
76.0956934201,32.3956939549,1
76.1040267534,32.3956939549,1
76.1123600867,32.3956939549,1
76.12069342,32.3956939549,1
76.1290267533,32.3956939549,1
76.1373600866,32.3956939549,1
76.1456934199,32.3956939549,1
76.1540267532,32.3956939549,1
76.1623600865,32.3956939549,1
76.1873600864,32.3956939549,1
76.287360086,32.3956939549,1
76.2956934193,32.3956939549,1
76.3456934191,32.3956939549,1
76.3540267524,32.3956939549,1
76.3623600857,32.3956939549,1
76.370693419,32.3956939549,1
76.3790267523,32.3956939549,0.5
76.3873600856,32.3956939549,1
76.3956934189,32.3956939549,1
76.4040267522,32.3956939549,1
76.4123600855,32.3956939549,1
76.4206934188,32.3956939549,1
76.4790267519,32.3956939549,0.5
76.4873600852,32.3956939549,1
76.4956934185,32.3956939549,1
76.5040267518,32.3956939549,1
76.0790267535,32.3873606216,0.5
76.0873600868,32.3873606216,0.5
76.0956934201,32.3873606216,1
76.1040267534,32.3873606216,1
76.1123600867,32.3873606216,1
76.12069342,32.3873606216,0.5
76.1290267533,32.3873606216,0.5
76.1373600866,32.3873606216,0.5
76.1456934199,32.3873606216,1
76.1540267532,32.3873606216,1
76.1623600865,32.3873606216,1
76.1706934198,32.3873606216,1
76.1790267531,32.3873606216,1
76.1873600864,32.3873606216,1
76.1956934197,32.3873606216,1
76.204026753,32.3873606216,1
76.2956934193,32.3873606216,1
76.3040267526,32.3873606216,1
76.3456934191,32.3873606216,1
76.3540267524,32.3873606216,1
76.3623600857,32.3873606216,1
76.370693419,32.3873606216,1
76.3790267523,32.3873606216,1
76.3873600856,32.3873606216,1
76.4623600853,32.3873606216,1
76.4706934186,32.3873606216,1
76.4790267519,32.3873606216,0.5
76.4873600852,32.3873606216,1
76.4956934185,32.3873606216,1
76.5040267518,32.3873606216,0.5
76.5123600851,32.3873606216,1
76.0706934202,32.3790272883,1
76.0790267535,32.3790272883,1
76.0873600868,32.3790272883,1
76.0956934201,32.3790272883,0.5
76.1040267534,32.3790272883,0.5
76.1123600867,32.3790272883,1
76.12069342,32.3790272883,1
76.1290267533,32.3790272883,1
76.1373600866,32.3790272883,0.5
76.1456934199,32.3790272883,1
76.1540267532,32.3790272883,1
76.1623600865,32.3790272883,1
76.1706934198,32.3790272883,1
76.1790267531,32.3790272883,0.5
76.1873600864,32.3790272883,1
76.1956934197,32.3790272883,1
76.204026753,32.3790272883,1
76.2123600863,32.3790272883,1
76.2206934196,32.3790272883,1
76.2290267529,32.3790272883,1
76.2373600862,32.3790272883,1
76.2956934193,32.3790272883,1
76.3456934191,32.3790272883,1
76.3540267524,32.3790272883,1
76.370693419,32.3790272883,1
76.3790267523,32.3790272883,1
76.3873600856,32.3790272883,1
76.4623600853,32.3790272883,1
76.4706934186,32.3790272883,1
76.4790267519,32.3790272883,1
76.4873600852,32.3790272883,0.5
76.4956934185,32.3790272883,0.5
76.5040267518,32.3790272883,1
76.5123600851,32.3790272883,0.5
76.5206934184,32.3790272883,1
76.5290267517,32.3790272883,1
76.0873600868,32.370693955,1
76.0956934201,32.370693955,1
76.1290267533,32.370693955,0.5
76.1373600866,32.370693955,0.5
76.1456934199,32.370693955,0.5
76.1540267532,32.370693955,1
76.1623600865,32.370693955,1
76.1706934198,32.370693955,1
76.1790267531,32.370693955,1
76.1873600864,32.370693955,1
76.1956934197,32.370693955,1
76.204026753,32.370693955,1
76.2123600863,32.370693955,1
76.2206934196,32.370693955,1
76.2290267529,32.370693955,1
76.2373600862,32.370693955,1
76.2456934195,32.370693955,1
76.3456934191,32.370693955,1
76.4706934186,32.370693955,1
76.4790267519,32.370693955,1
76.4873600852,32.370693955,1
