"x","y","value"
75.7706934214,33.2623606181,-2
75.5956934221,32.8873606196,-2
75.620693422,32.8873606196,-2
75.6373600886,32.8873606196,-2
75.6540267552,32.8873606196,-2
75.6706934218,32.8873606196,-2
75.6790267551,32.8873606196,-2
75.6956934217,32.8873606196,-2
75.704026755,32.8873606196,-2
75.7123600883,32.8873606196,-2
75.7206934216,32.8873606196,-1
75.5790267555,32.8790272863,-2
75.5873600888,32.8790272863,-2
75.5956934221,32.8790272863,-2
75.6040267554,32.8790272863,-2
75.6123600887,32.8790272863,-2
75.620693422,32.8790272863,-2
75.6290267553,32.8790272863,-2
75.6373600886,32.8790272863,-2
75.6456934219,32.8790272863,-2
75.6540267552,32.8790272863,-2
75.6623600885,32.8790272863,-2
75.6706934218,32.8790272863,-2
75.6790267551,32.8790272863,-2
75.6873600884,32.8790272863,-2
75.6956934217,32.8790272863,-2
75.704026755,32.8790272863,-2
75.7123600883,32.8790272863,-1
75.7206934216,32.8790272863,-1
75.7290267549,32.8790272863,-2
75.7373600882,32.8790272863,-2
75.7456934215,32.8790272863,-2
75.7540267548,32.8790272863,-2
75.5790267555,32.870693953,-2
75.5873600888,32.870693953,-2
75.5956934221,32.870693953,-2
75.6040267554,32.870693953,-2
75.6123600887,32.870693953,-2
75.620693422,32.870693953,-1
75.6290267553,32.870693953,-2
75.6373600886,32.870693953,-1
75.6456934219,32.870693953,-1
75.6540267552,32.870693953,-1
75.6623600885,32.870693953,-1
75.6706934218,32.870693953,-1
75.6790267551,32.870693953,-1
75.6873600884,32.870693953,-1
75.6956934217,32.870693953,-1
75.704026755,32.870693953,-1
75.7123600883,32.870693953,-1
75.7206934216,32.870693953,-1
75.7290267549,32.870693953,-1
75.7373600882,32.870693953,-2
75.7456934215,32.870693953,-2
75.7623600881,32.870693953,-2
75.7706934214,32.870693953,-2
75.8206934212,32.870693953,-2
76.2290267529,32.870693953,-2
76.2373600862,32.870693953,-2
75.5540267556,32.8623606197,-2
75.5623600889,32.8623606197,-2
75.5706934222,32.8623606197,-2
75.5790267555,32.8623606197,-2
75.5873600888,32.8623606197,-2
75.5956934221,32.8623606197,-1
75.6040267554,32.8623606197,-1
75.6123600887,32.8623606197,-1
75.620693422,32.8623606197,-1
75.6290267553,32.8623606197,-1
75.6373600886,32.8623606197,-1
75.6456934219,32.8623606197,-1
75.6540267552,32.8623606197,-1
75.6623600885,32.8623606197,-1
75.6706934218,32.8623606197,-1
75.6790267551,32.8623606197,-1
75.6873600884,32.8623606197,-1
75.6956934217,32.8623606197,-1
75.704026755,32.8623606197,-1
75.7123600883,32.8623606197,-1
75.7206934216,32.8623606197,-1
75.7290267549,32.8623606197,-1
75.7373600882,32.8623606197,-1
75.7456934215,32.8623606197,-2
75.7956934213,32.8623606197,-2
75.8040267546,32.8623606197,-2
75.8123600879,32.8623606197,-2
75.8206934212,32.8623606197,-2
75.8290267545,32.8623606197,-2
76.2206934196,32.8623606197,-2
75.5623600889,32.8540272864,-2
75.5706934222,32.8540272864,-1
75.5790267555,32.8540272864,-1
75.5873600888,32.8540272864,-1
75.5956934221,32.8540272864,-1
75.6040267554,32.8540272864,-1
75.6123600887,32.8540272864,-1
75.620693422,32.8540272864,-1
75.6290267553,32.8540272864,-1
75.6373600886,32.8540272864,-1
75.6456934219,32.8540272864,-1
75.6540267552,32.8540272864,-1
75.6623600885,32.8540272864,-1
75.6706934218,32.8540272864,-1
75.6790267551,32.8540272864,-1
75.6873600884,32.8540272864,-1
75.6956934217,32.8540272864,-1
75.704026755,32.8540272864,-1
75.7123600883,32.8540272864,-1
75.7206934216,32.8540272864,-1
75.7290267549,32.8540272864,-1
75.7373600882,32.8540272864,-1
75.7456934215,32.8540272864,-2
75.7956934213,32.8540272864,-2
75.8040267546,32.8540272864,-2
75.8123600879,32.8540272864,-2
75.8206934212,32.8540272864,-2
75.8290267545,32.8540272864,-2
75.8373600878,32.8540272864,-2
75.8456934211,32.8540272864,-2
75.8956934209,32.8540272864,-2
76.2206934196,32.8540272864,-2
76.2290267529,32.8540272864,-2
76.2373600862,32.8540272864,-2
76.2540267528,32.8540272864,-2
76.2623600861,32.8540272864,-2
75.5540267556,32.8456939531,-2
75.5623600889,32.8456939531,-2
75.5706934222,32.8456939531,-2
75.5790267555,32.8456939531,-1
75.5873600888,32.8456939531,-1
