"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",13551,"PercLoss",-82.107,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",17177,"PercLoss",-72.455,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349007,"PercLoss",-82.107,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",340503,"PercLoss",-72.455,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",2953,"PercLoss",-82.107,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",6530,"PercLoss",-72.455,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",5,"PercLoss",-82.107,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",1306,"PercLoss",-72.455,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",13551,"PercGain",0.03,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",17177,"PercGain",5.509,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349007,"PercGain",0.03,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",340503,"PercGain",5.509,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",2953,"PercGain",0.03,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",6530,"PercGain",5.509,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",5,"PercGain",0.03,"CurrentRangeSize",16504
