"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15289,"PercLoss",-47.741,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",13582,"PercLoss",-38.936,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333418,"PercLoss",-47.741,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",329378,"PercLoss",-38.936,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",16736,"PercLoss",-47.741,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",21301,"PercLoss",-38.936,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",73,"PercLoss",-47.741,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",1255,"PercLoss",-38.936,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15289,"PercGain",0.228,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",13582,"PercGain",3.598,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333418,"PercGain",0.228,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",329378,"PercGain",3.598,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",16736,"PercGain",0.228,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",21301,"PercGain",3.598,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",73,"PercGain",0.228,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",1255,"PercGain",3.598,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15289,"SpeciesRangeChange",-47.513,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",13582,"SpeciesRangeChange",-35.338,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333418,"SpeciesRangeChange",-47.513,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",329378,"SpeciesRangeChange",-35.338,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",16736,"SpeciesRangeChange",-47.513,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",21301,"SpeciesRangeChange",-35.338,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",73,"SpeciesRangeChange",-47.513,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",1255,"SpeciesRangeChange",-35.338,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15289,"PercLoss",-47.741,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",13582,"PercLoss",-38.936,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333418,"PercLoss",-47.741,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",329378,"PercLoss",-38.936,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",16736,"PercLoss",-47.741,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",21301,"PercLoss",-38.936,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",73,"PercLoss",-47.741,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",1255,"PercLoss",-38.936,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15289,"PercGain",0.228,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",13582,"PercGain",3.598,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333418,"PercGain",0.228,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",329378,"PercGain",3.598,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",16736,"PercGain",0.228,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",21301,"PercGain",3.598,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",73,"PercGain",0.228,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",1255,"PercGain",3.598,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15289,"SpeciesRangeChange",-47.513,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",13582,"SpeciesRangeChange",-35.338,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333418,"SpeciesRangeChange",-47.513,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",329378,"SpeciesRangeChange",-35.338,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",16736,"SpeciesRangeChange",-47.513,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",21301,"SpeciesRangeChange",-35.338,"FutureRangeSize.NoDisp",21301
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",73,"SpeciesRangeChange",-47.513,"FutureRangeSize.NoDisp",16736
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",1255,"SpeciesRangeChange",-35.338,"FutureRangeSize.NoDisp",21301
