"x","y","value"
75.7706934214,33.2623606181,-2
80.8540267344,33.2623606181,1
80.8623600677,33.2623606181,1
80.870693401,33.2623606181,1
80.8790267343,33.2623606181,1
80.8873600676,33.2623606181,1
80.8956934009,33.2623606181,1
80.9040267342,33.2623606181,1
80.9123600675,33.2623606181,1
80.9206934008,33.2623606181,1
80.9290267341,33.2623606181,1
80.9373600674,33.2623606181,1
80.9456934007,33.2623606181,1
80.8790267343,33.2540272848,1
80.8873600676,33.2540272848,1
80.8956934009,33.2540272848,1
80.9040267342,33.2540272848,1
80.9123600675,33.2540272848,1
80.9206934008,33.2540272848,1
80.9290267341,33.2540272848,1
80.9373600674,33.2540272848,1
80.9456934007,33.2540272848,1
80.954026734,33.2540272848,1
80.8873600676,33.2456939515,1
80.8956934009,33.2456939515,1
80.9040267342,33.2456939515,1
80.9123600675,33.2456939515,1
80.9206934008,33.2456939515,1
80.9290267341,33.2456939515,1
80.9373600674,33.2456939515,1
80.9456934007,33.2456939515,1
80.954026734,33.2456939515,1
80.9623600673,33.2456939515,1
80.9706934006,33.2456939515,1
80.9790267339,33.2456939515,1
80.9956934005,33.2456939515,1
81.0040267338,33.2456939515,1
81.0123600671,33.2456939515,1
80.8956934009,33.2373606182,1
80.9040267342,33.2373606182,1
80.9123600675,33.2373606182,1
80.9206934008,33.2373606182,1
80.9290267341,33.2373606182,1
80.9373600674,33.2373606182,1
80.9456934007,33.2373606182,1
80.954026734,33.2373606182,1
80.9623600673,33.2373606182,1
80.9706934006,33.2373606182,1
80.9790267339,33.2373606182,1
81.037360067,33.2373606182,1
81.0456934003,33.2373606182,1
80.8956934009,33.2290272849,1
80.9040267342,33.2290272849,1
80.9123600675,33.2290272849,1
80.9206934008,33.2290272849,1
80.9290267341,33.2290272849,1
80.9373600674,33.2290272849,1
80.9456934007,33.2290272849,1
80.954026734,33.2290272849,1
80.9623600673,33.2290272849,1
80.9706934006,33.2290272849,1
80.9790267339,33.2290272849,1
80.9873600672,33.2290272849,1
80.9956934005,33.2290272849,1
81.0040267338,33.2290272849,1
80.9040267342,33.2206939516,1
80.9123600675,33.2206939516,1
80.9206934008,33.2206939516,1
80.9290267341,33.2206939516,1
80.9373600674,33.2206939516,1
80.9456934007,33.2206939516,1
80.954026734,33.2206939516,1
80.9623600673,33.2206939516,1
80.9706934006,33.2206939516,1
80.9790267339,33.2206939516,1
80.9873600672,33.2206939516,1
80.9956934005,33.2206939516,1
81.0040267338,33.2206939516,1
81.0123600671,33.2206939516,1
80.9123600675,33.2123606183,1
80.9206934008,33.2123606183,1
80.9290267341,33.2123606183,1
80.9373600674,33.2123606183,1
80.9456934007,33.2123606183,1
80.954026734,33.2123606183,1
80.9623600673,33.2123606183,1
80.9706934006,33.2123606183,1
80.9790267339,33.2123606183,1
80.9873600672,33.2123606183,1
80.9956934005,33.2123606183,1
81.0040267338,33.2123606183,1
81.0123600671,33.2123606183,1
81.0206934004,33.2123606183,1
81.0290267337,33.2123606183,1
81.037360067,33.2123606183,1
81.0456934003,33.2123606183,1
81.0540267336,33.2123606183,1
80.9123600675,33.204027285,1
80.9206934008,33.204027285,1
80.9290267341,33.204027285,1
80.9373600674,33.204027285,1
80.9456934007,33.204027285,1
80.954026734,33.204027285,1
80.9623600673,33.204027285,1
80.9706934006,33.204027285,1
80.9790267339,33.204027285,1
80.9873600672,33.204027285,1
80.9956934005,33.204027285,1
81.0040267338,33.204027285,1
81.0123600671,33.204027285,1
81.0206934004,33.204027285,1
81.0290267337,33.204027285,1
81.037360067,33.204027285,1
81.0456934003,33.204027285,1
81.0540267336,33.204027285,1
80.9206934008,33.1956939517,1
80.9290267341,33.1956939517,1
80.9373600674,33.1956939517,1
80.9456934007,33.1956939517,1
80.954026734,33.1956939517,1
80.9623600673,33.1956939517,1
80.9706934006,33.1956939517,1
80.9790267339,33.1956939517,1
80.9873600672,33.1956939517,1
80.9956934005,33.1956939517,1
81.0040267338,33.1956939517,1
81.0123600671,33.1956939517,1
81.0206934004,33.1956939517,1
81.0290267337,33.1956939517,1
81.037360067,33.1956939517,1
81.0456934003,33.1956939517,1
81.0540267336,33.1956939517,1
80.9206934008,33.1873606184,1
80.9290267341,33.1873606184,1
80.9373600674,33.1873606184,1
80.9456934007,33.1873606184,1
80.954026734,33.1873606184,1
80.9623600673,33.1873606184,1
80.9706934006,33.1873606184,1
80.9790267339,33.1873606184,1
80.9873600672,33.1873606184,1
80.9956934005,33.1873606184,1
81.0040267338,33.1873606184,1
81.0123600671,33.1873606184,1
81.0206934004,33.1873606184,1
81.0290267337,33.1873606184,1
81.037360067,33.1873606184,1
81.0456934003,33.1873606184,1
81.0540267336,33.1873606184,1
80.9040267342,33.1790272851,1
80.9456934007,33.1790272851,1
80.954026734,33.1790272851,1
80.9623600673,33.1790272851,1
80.9706934006,33.1790272851,1
80.9790267339,33.1790272851,1
80.9873600672,33.1790272851,1
80.9956934005,33.1790272851,1
81.0040267338,33.1790272851,1
81.0123600671,33.1790272851,1
81.0206934004,33.1790272851,1
81.0290267337,33.1790272851,1
81.037360067,33.1790272851,1
81.0456934003,33.1790272851,1
81.0540267336,33.1790272851,1
80.954026734,33.1706939518,1
80.9623600673,33.1706939518,1
80.9706934006,33.1706939518,1
80.9790267339,33.1706939518,1
80.9873600672,33.1706939518,1
80.9956934005,33.1706939518,1
81.0040267338,33.1706939518,1
81.0123600671,33.1706939518,1
81.0206934004,33.1706939518,1
81.0290267337,33.1706939518,1
81.037360067,33.1706939518,1
81.0456934003,33.1706939518,1
81.0540267336,33.1706939518,1
80.8790267343,33.1623606185,1
80.8956934009,33.1623606185,1
80.9040267342,33.1623606185,1
80.9623600673,33.1623606185,1
80.9706934006,33.1623606185,1
80.9790267339,33.1623606185,1
80.9873600672,33.1623606185,1
80.9956934005,33.1623606185,1
81.0040267338,33.1623606185,1
81.0123600671,33.1623606185,1
81.0206934004,33.1623606185,1
81.0290267337,33.1623606185,1
81.037360067,33.1623606185,1
81.0456934003,33.1623606185,1
81.0540267336,33.1623606185,1
80.9790267339,33.1540272852,1
80.9873600672,33.1540272852,1
80.9956934005,33.1540272852,1
81.0040267338,33.1540272852,1
81.0123600671,33.1540272852,1
81.0206934004,33.1540272852,1
81.0290267337,33.1540272852,1
81.037360067,33.1540272852,1
81.0456934003,33.1540272852,1
81.0540267336,33.1540272852,1
80.9040267342,33.1456939519,1
80.9956934005,33.1456939519,1
81.0040267338,33.1456939519,1
81.0123600671,33.1456939519,1
81.0206934004,33.1456939519,1
81.0290267337,33.1456939519,1
81.037360067,33.1456939519,1
81.0456934003,33.1456939519,1
81.0540267336,33.1456939519,1
80.9040267342,33.1373606186,1
80.9123600675,33.1373606186,1
80.9206934008,33.1373606186,1
81.0123600671,33.1373606186,1
81.0206934004,33.1373606186,1
81.0290267337,33.1373606186,1
81.037360067,33.1373606186,1
81.0456934003,33.1373606186,1
81.0540267336,33.1373606186,1
80.8623600677,33.1290272853,1
80.8956934009,33.1290272853,1
80.9040267342,33.1290272853,1
80.9123600675,33.1290272853,1
80.9206934008,33.1290272853,1
80.9290267341,33.1290272853,1
80.9373600674,33.1290272853,1
81.0290267337,33.1290272853,1
81.037360067,33.1290272853,1
81.0456934003,33.1290272853,1
81.0540267336,33.1290272853,1
80.8623600677,33.120693952,1
80.870693401,33.120693952,1
80.8790267343,33.120693952,1
80.8873600676,33.120693952,1
80.8956934009,33.120693952,1
80.9040267342,33.120693952,1
80.9206934008,33.120693952,1
80.9290267341,33.120693952,1
80.9373600674,33.120693952,1
80.9456934007,33.120693952,1
81.037360067,33.120693952,1
81.0456934003,33.120693952,1
81.0540267336,33.120693952,1
80.8623600677,33.1123606187,1
80.870693401,33.1123606187,1
80.8790267343,33.1123606187,1
80.8873600676,33.1123606187,1
80.8956934009,33.1123606187,1
80.9040267342,33.1123606187,1
80.9123600675,33.1123606187,1
80.9206934008,33.1123606187,1
80.9290267341,33.1123606187,1
80.9373600674,33.1123606187,1
80.9456934007,33.1123606187,1
80.954026734,33.1123606187,1
80.8373600678,33.1040272854,1
80.8456934011,33.1040272854,1
80.8540267344,33.1040272854,1
80.8623600677,33.1040272854,1
80.870693401,33.1040272854,1
80.8790267343,33.1040272854,1
80.8873600676,33.1040272854,1
80.8956934009,33.1040272854,1
80.9040267342,33.1040272854,1
80.9123600675,33.1040272854,1
80.9206934008,33.1040272854,1
80.9290267341,33.1040272854,1
80.9373600674,33.1040272854,1
80.9456934007,33.1040272854,1
80.954026734,33.1040272854,1
80.9623600673,33.1040272854,1
80.7790267347,33.0956939521,1
80.787360068,33.0956939521,1
80.8373600678,33.0956939521,1
80.8456934011,33.0956939521,1
80.8540267344,33.0956939521,1
80.8623600677,33.0956939521,1
80.870693401,33.0956939521,1
80.8790267343,33.0956939521,1
80.8873600676,33.0956939521,1
80.8956934009,33.0956939521,1
80.9040267342,33.0956939521,1
80.9123600675,33.0956939521,1
80.9206934008,33.0956939521,1
80.9290267341,33.0956939521,1
80.9373600674,33.0956939521,1
80.9456934007,33.0956939521,1
80.954026734,33.0956939521,1
80.9623600673,33.0956939521,1
80.9706934006,33.0956939521,1
80.9873600672,33.0956939521,1
80.9956934005,33.0956939521,1
81.0206934004,33.0956939521,1
81.0290267337,33.0956939521,1
81.037360067,33.0956939521,1
81.0456934003,33.0956939521,1
81.0540267336,33.0956939521,1
80.7790267347,33.0873606188,1
80.8206934012,33.0873606188,1
80.8290267345,33.0873606188,1
80.8373600678,33.0873606188,1
80.8456934011,33.0873606188,1
80.8540267344,33.0873606188,1
80.8623600677,33.0873606188,1
80.870693401,33.0873606188,1
80.8790267343,33.0873606188,1
80.8873600676,33.0873606188,1
80.8956934009,33.0873606188,1
80.9040267342,33.0873606188,1
80.9123600675,33.0873606188,1
80.9206934008,33.0873606188,1
80.9290267341,33.0873606188,1
80.9373600674,33.0873606188,1
80.9456934007,33.0873606188,1
80.954026734,33.0873606188,1
80.9623600673,33.0873606188,1
80.9706934006,33.0873606188,1
80.9790267339,33.0873606188,1
80.9873600672,33.0873606188,1
80.9956934005,33.0873606188,1
81.0040267338,33.0873606188,1
81.0123600671,33.0873606188,1
81.0206934004,33.0873606188,1
81.0290267337,33.0873606188,1
81.037360067,33.0873606188,1
81.0456934003,33.0873606188,1
81.0540267336,33.0873606188,1
80.7623600681,33.0790272855,1
80.7706934014,33.0790272855,1
80.7790267347,33.0790272855,1
80.787360068,33.0790272855,1
80.8290267345,33.0790272855,1
80.8373600678,33.0790272855,1
80.8456934011,33.0790272855,1
80.8540267344,33.0790272855,1
80.8623600677,33.0790272855,1
80.870693401,33.0790272855,1
80.8790267343,33.0790272855,1
80.8873600676,33.0790272855,1
80.8956934009,33.0790272855,1
80.9040267342,33.0790272855,1
80.9123600675,33.0790272855,1
80.9206934008,33.0790272855,1
80.9290267341,33.0790272855,1
80.9373600674,33.0790272855,1
80.9456934007,33.0790272855,1
80.954026734,33.0790272855,1
80.9623600673,33.0790272855,1
80.9706934006,33.0790272855,1
80.9790267339,33.0790272855,1
80.9873600672,33.0790272855,1
80.9956934005,33.0790272855,1
81.0040267338,33.0790272855,1
81.0123600671,33.0790272855,1
81.0206934004,33.0790272855,1
81.0290267337,33.0790272855,1
81.037360067,33.0790272855,1
81.0456934003,33.0790272855,1
81.0540267336,33.0790272855,1
80.7456934015,33.0706939522,1
80.7540267348,33.0706939522,1
80.7623600681,33.0706939522,1
80.7706934014,33.0706939522,1
80.787360068,33.0706939522,1
80.8040267346,33.0706939522,1
80.8123600679,33.0706939522,1
80.8206934012,33.0706939522,1
80.8290267345,33.0706939522,1
80.8373600678,33.0706939522,1
80.8456934011,33.0706939522,1
80.8540267344,33.0706939522,1
80.8623600677,33.0706939522,1
80.870693401,33.0706939522,1
80.8790267343,33.0706939522,1
80.8873600676,33.0706939522,1
80.8956934009,33.0706939522,1
80.9040267342,33.0706939522,1
80.9123600675,33.0706939522,1
80.9206934008,33.0706939522,1
80.9290267341,33.0706939522,1
80.9373600674,33.0706939522,1
80.9456934007,33.0706939522,1
80.954026734,33.0706939522,1
80.9623600673,33.0706939522,1
80.9706934006,33.0706939522,1
80.9790267339,33.0706939522,1
80.9873600672,33.0706939522,1
80.9956934005,33.0706939522,1
81.0040267338,33.0706939522,1
81.037360067,33.0706939522,1
81.0456934003,33.0706939522,1
80.7456934015,33.0623606189,1
80.7540267348,33.0623606189,1
80.7623600681,33.0623606189,1
80.7706934014,33.0623606189,1
80.7790267347,33.0623606189,1
80.7956934013,33.0623606189,1
80.8040267346,33.0623606189,1
80.8123600679,33.0623606189,1
80.8206934012,33.0623606189,1
80.8290267345,33.0623606189,1
80.8373600678,33.0623606189,1
80.8456934011,33.0623606189,1
80.8623600677,33.0623606189,1
80.870693401,33.0623606189,1
80.8790267343,33.0623606189,1
80.8873600676,33.0623606189,1
80.8956934009,33.0623606189,1
80.9123600675,33.0623606189,1
80.9206934008,33.0623606189,1
80.9290267341,33.0623606189,1
80.9373600674,33.0623606189,1
80.9456934007,33.0623606189,1
80.954026734,33.0623606189,1
80.9623600673,33.0623606189,1
80.9706934006,33.0623606189,1
80.9790267339,33.0623606189,1
80.9873600672,33.0623606189,1
80.9956934005,33.0623606189,1
81.0040267338,33.0623606189,1
81.037360067,33.0623606189,1
81.0456934003,33.0623606189,1
81.0540267336,33.0623606189,1
80.7373600682,33.0540272856,1
80.7456934015,33.0540272856,1
80.7540267348,33.0540272856,1
80.7623600681,33.0540272856,1
80.7706934014,33.0540272856,1
80.7790267347,33.0540272856,1
80.787360068,33.0540272856,1
80.7956934013,33.0540272856,1
80.8040267346,33.0540272856,1
80.8123600679,33.0540272856,1
80.8206934012,33.0540272856,1
80.8290267345,33.0540272856,1
80.8373600678,33.0540272856,1
80.8456934011,33.0540272856,1
80.870693401,33.0540272856,1
80.8790267343,33.0540272856,1
80.8873600676,33.0540272856,1
80.8956934009,33.0540272856,1
80.9040267342,33.0540272856,1
80.9123600675,33.0540272856,1
80.9206934008,33.0540272856,1
80.9290267341,33.0540272856,1
80.9373600674,33.0540272856,1
80.9456934007,33.0540272856,1
80.954026734,33.0540272856,1
80.9623600673,33.0540272856,1
80.9706934006,33.0540272856,1
80.9790267339,33.0540272856,1
80.9873600672,33.0540272856,1
80.9956934005,33.0540272856,1
81.0040267338,33.0540272856,1
81.0123600671,33.0540272856,1
81.0206934004,33.0540272856,1
81.0290267337,33.0540272856,1
81.037360067,33.0540272856,1
81.0456934003,33.0540272856,1
81.0540267336,33.0540272856,1
80.7290267349,33.0456939523,1
80.7373600682,33.0456939523,1
80.7456934015,33.0456939523,1
80.7540267348,33.0456939523,1
80.7623600681,33.0456939523,1
80.7706934014,33.0456939523,1
80.7790267347,33.0456939523,1
80.787360068,33.0456939523,1
80.7956934013,33.0456939523,1
80.8040267346,33.0456939523,1
80.8123600679,33.0456939523,1
80.8206934012,33.0456939523,1
80.8290267345,33.0456939523,1
80.8373600678,33.0456939523,1
80.8456934011,33.0456939523,1
80.8540267344,33.0456939523,1
80.8623600677,33.0456939523,1
80.8790267343,33.0456939523,1
80.8873600676,33.0456939523,1
80.8956934009,33.0456939523,1
80.9040267342,33.0456939523,1
80.9123600675,33.0456939523,1
80.9206934008,33.0456939523,1
80.9290267341,33.0456939523,1
80.9373600674,33.0456939523,1
80.9456934007,33.0456939523,1
80.954026734,33.0456939523,1
80.9623600673,33.0456939523,1
80.9706934006,33.0456939523,1
80.9790267339,33.0456939523,1
80.9873600672,33.0456939523,1
80.9956934005,33.0456939523,1
81.0040267338,33.0456939523,1
81.0123600671,33.0456939523,1
81.0206934004,33.0456939523,1
81.0290267337,33.0456939523,1
81.037360067,33.0456939523,1
81.0456934003,33.0456939523,1
81.0540267336,33.0456939523,1
80.7123600683,33.037360619,1
80.7206934016,33.037360619,1
80.7290267349,33.037360619,1
80.7706934014,33.037360619,1
80.7790267347,33.037360619,1
80.787360068,33.037360619,1
80.7956934013,33.037360619,1
80.8040267346,33.037360619,1
80.8123600679,33.037360619,1
80.8206934012,33.037360619,1
80.8290267345,33.037360619,1
80.8373600678,33.037360619,1
80.8456934011,33.037360619,1
80.8540267344,33.037360619,1
80.8623600677,33.037360619,1
80.870693401,33.037360619,1
80.8790267343,33.037360619,1
80.8873600676,33.037360619,1
80.8956934009,33.037360619,1
80.9040267342,33.037360619,1
80.9123600675,33.037360619,1
80.9206934008,33.037360619,1
80.9290267341,33.037360619,1
80.9373600674,33.037360619,1
80.9456934007,33.037360619,1
80.954026734,33.037360619,1
80.9623600673,33.037360619,1
80.9706934006,33.037360619,1
80.9790267339,33.037360619,1
80.9873600672,33.037360619,1
80.9956934005,33.037360619,1
81.0040267338,33.037360619,1
81.0123600671,33.037360619,1
81.0206934004,33.037360619,1
81.0290267337,33.037360619,1
81.037360067,33.037360619,1
80.7706934014,33.0290272857,1
80.7790267347,33.0290272857,1
80.787360068,33.0290272857,1
80.7956934013,33.0290272857,1
80.8040267346,33.0290272857,1
80.8123600679,33.0290272857,1
80.8206934012,33.0290272857,1
80.8290267345,33.0290272857,1
80.8373600678,33.0290272857,1
80.8456934011,33.0290272857,1
80.8540267344,33.0290272857,1
80.8623600677,33.0290272857,1
80.870693401,33.0290272857,1
80.8790267343,33.0290272857,1
80.8873600676,33.0290272857,1
80.8956934009,33.0290272857,1
80.9040267342,33.0290272857,1
80.9456934007,33.0290272857,1
80.954026734,33.0290272857,1
80.9623600673,33.0290272857,1
80.9706934006,33.0290272857,1
80.9790267339,33.0290272857,1
80.9873600672,33.0290272857,1
80.9956934005,33.0290272857,1
81.0040267338,33.0290272857,1
81.0123600671,33.0290272857,1
81.0206934004,33.0290272857,1
81.0290267337,33.0290272857,1
81.037360067,33.0290272857,1
81.0456934003,33.0290272857,1
80.6873600684,33.0206939524,1
80.787360068,33.0206939524,1
80.7956934013,33.0206939524,1
80.8040267346,33.0206939524,1
80.8123600679,33.0206939524,1
80.8206934012,33.0206939524,1
80.8290267345,33.0206939524,1
80.8373600678,33.0206939524,1
80.8456934011,33.0206939524,1
80.8540267344,33.0206939524,1
80.8623600677,33.0206939524,1
80.870693401,33.0206939524,1
80.8790267343,33.0206939524,1
80.8873600676,33.0206939524,1
80.8956934009,33.0206939524,1
80.9040267342,33.0206939524,1
80.9123600675,33.0206939524,1
80.9206934008,33.0206939524,1
80.9623600673,33.0206939524,1
80.9706934006,33.0206939524,1
80.9790267339,33.0206939524,1
80.9873600672,33.0206939524,1
80.9956934005,33.0206939524,1
81.0040267338,33.0206939524,1
81.0123600671,33.0206939524,1
81.0206934004,33.0206939524,-1
81.0290267337,33.0206939524,1
81.037360067,33.0206939524,1
81.0456934003,33.0206939524,1
81.0540267336,33.0206939524,1
80.620693402,33.0123606191,1
80.7790267347,33.0123606191,1
80.787360068,33.0123606191,1
80.7956934013,33.0123606191,1
80.8040267346,33.0123606191,1
80.8123600679,33.0123606191,1
80.8206934012,33.0123606191,1
80.8290267345,33.0123606191,1
80.8373600678,33.0123606191,1
80.8456934011,33.0123606191,1
80.8540267344,33.0123606191,1
80.8623600677,33.0123606191,1
80.870693401,33.0123606191,1
80.8790267343,33.0123606191,1
80.8956934009,33.0123606191,1
80.9040267342,33.0123606191,1
80.9123600675,33.0123606191,1
80.9206934008,33.0123606191,1
80.9290267341,33.0123606191,1
80.9790267339,33.0123606191,1
80.9873600672,33.0123606191,1
80.9956934005,33.0123606191,1
81.0040267338,33.0123606191,1
81.0123600671,33.0123606191,1
81.0206934004,33.0123606191,1
81.0290267337,33.0123606191,1
81.037360067,33.0123606191,1
81.0456934003,33.0123606191,1
81.0540267336,33.0123606191,1
80.5206934024,33.0040272858,1
80.5290267357,33.0040272858,1
80.537360069,33.0040272858,1
80.5456934023,33.0040272858,1
80.7790267347,33.0040272858,1
80.787360068,33.0040272858,1
80.7956934013,33.0040272858,1
80.8040267346,33.0040272858,1
80.8123600679,33.0040272858,1
80.8206934012,33.0040272858,1
80.8290267345,33.0040272858,1
80.8373600678,33.0040272858,1
80.8456934011,33.0040272858,1
80.8540267344,33.0040272858,1
80.8623600677,33.0040272858,1
80.870693401,33.0040272858,1
80.8790267343,33.0040272858,1
80.9206934008,33.0040272858,1
81.0040267338,33.0040272858,1
81.0123600671,33.0040272858,1
81.0206934004,33.0040272858,1
81.0290267337,33.0040272858,1
81.037360067,33.0040272858,1
81.0456934003,33.0040272858,1
81.0540267336,33.0040272858,1
80.5123600691,32.9956939525,1
80.5206934024,32.9956939525,1
80.5290267357,32.9956939525,1
80.537360069,32.9956939525,1
80.5456934023,32.9956939525,1
80.5623600689,32.9956939525,1
80.5706934022,32.9956939525,1
80.5790267355,32.9956939525,1
80.5873600688,32.9956939525,1
80.7623600681,32.9956939525,1
80.7706934014,32.9956939525,1
80.7790267347,32.9956939525,1
80.787360068,32.9956939525,1
80.7956934013,32.9956939525,1
80.8040267346,32.9956939525,1
80.8123600679,32.9956939525,1
80.8206934012,32.9956939525,1
80.8373600678,32.9956939525,1
80.8456934011,32.9956939525,1
80.8540267344,32.9956939525,1
80.8623600677,32.9956939525,1
80.870693401,32.9956939525,1
80.8790267343,32.9956939525,1
80.8873600676,32.9956939525,1
80.8956934009,32.9956939525,1
80.9290267341,32.9956939525,1
81.0206934004,32.9956939525,1
81.0290267337,32.9956939525,1
81.037360067,32.9956939525,1
81.0456934003,32.9956939525,1
80.5040267358,32.9873606192,1
80.5123600691,32.9873606192,1
80.5206934024,32.9873606192,1
80.5290267357,32.9873606192,1
80.5623600689,32.9873606192,1
80.5706934022,32.9873606192,1
80.5790267355,32.9873606192,1
80.5873600688,32.9873606192,1
80.7540267348,32.9873606192,1
80.7623600681,32.9873606192,1
80.7706934014,32.9873606192,1
80.7790267347,32.9873606192,1
80.787360068,32.9873606192,1
80.7956934013,32.9873606192,1
80.8040267346,32.9873606192,1
80.8123600679,32.9873606192,1
80.8206934012,32.9873606192,1
80.8456934011,32.9873606192,1
80.8540267344,32.9873606192,1
80.8623600677,32.9873606192,1
80.870693401,32.9873606192,1
80.8790267343,32.9873606192,1
80.8873600676,32.9873606192,1
80.8956934009,32.9873606192,1
80.9040267342,32.9873606192,1
81.0290267337,32.9873606192,1
80.4956934025,32.9790272859,1
80.5040267358,32.9790272859,1
80.5123600691,32.9790272859,1
80.5206934024,32.9790272859,1
80.5290267357,32.9790272859,1
80.5706934022,32.9790272859,1
80.5790267355,32.9790272859,1
80.5873600688,32.9790272859,1
80.5956934021,32.9790272859,1
80.7540267348,32.9790272859,1
80.7623600681,32.9790272859,1
80.7706934014,32.9790272859,1
80.7790267347,32.9790272859,1
80.787360068,32.9790272859,1
80.7956934013,32.9790272859,1
80.8040267346,32.9790272859,1
80.8123600679,32.9790272859,1
80.8456934011,32.9790272859,1
80.8540267344,32.9790272859,1
80.8623600677,32.9790272859,1
80.870693401,32.9790272859,1
80.8790267343,32.9790272859,1
80.8873600676,32.9790272859,1
80.8956934009,32.9790272859,1
80.9040267342,32.9790272859,1
80.9123600675,32.9790272859,1
80.9206934008,32.9790272859,1
80.4456934027,32.9706939526,1
80.454026736,32.9706939526,1
80.4956934025,32.9706939526,1
80.5040267358,32.9706939526,1
80.5123600691,32.9706939526,1
80.5623600689,32.9706939526,1
80.5706934022,32.9706939526,1
80.5790267355,32.9706939526,1
80.5873600688,32.9706939526,1
80.5956934021,32.9706939526,1
80.6040267354,32.9706939526,1
80.6123600687,32.9706939526,1
80.7456934015,32.9706939526,1
80.7540267348,32.9706939526,1
80.7623600681,32.9706939526,1
80.7706934014,32.9706939526,1
80.7790267347,32.9706939526,1
80.787360068,32.9706939526,1
80.7956934013,32.9706939526,1
80.8040267346,32.9706939526,1
80.8123600679,32.9706939526,1
80.870693401,32.9706939526,1
80.8790267343,32.9706939526,1
80.8873600676,32.9706939526,1
80.8956934009,32.9706939526,1
80.9040267342,32.9706939526,1
80.9123600675,32.9706939526,1
80.9206934008,32.9706939526,1
80.9290267341,32.9706939526,1
80.9373600674,32.9706939526,1
80.4456934027,32.9623606193,1
80.454026736,32.9623606193,1
80.4956934025,32.9623606193,1
80.5040267358,32.9623606193,1
80.5623600689,32.9623606193,1
80.5790267355,32.9623606193,1
80.5873600688,32.9623606193,1
80.5956934021,32.9623606193,1
80.6040267354,32.9623606193,1
80.6123600687,32.9623606193,1
80.7623600681,32.9623606193,1
80.7706934014,32.9623606193,1
80.7790267347,32.9623606193,1
80.787360068,32.9623606193,1
80.7956934013,32.9623606193,1
80.8040267346,32.9623606193,1
80.8123600679,32.9623606193,1
80.8873600676,32.9623606193,1
80.8956934009,32.9623606193,1
80.9040267342,32.9623606193,1
80.9123600675,32.9623606193,1
80.9206934008,32.9623606193,1
80.9290267341,32.9623606193,1
80.9373600674,32.9623606193,1
80.9456934007,32.9623606193,1
80.954026734,32.9623606193,1
80.9623600673,32.9623606193,1
80.454026736,32.954027286,1
80.4623600693,32.954027286,1
80.4956934025,32.954027286,1
80.5040267358,32.954027286,1
80.5790267355,32.954027286,1
80.5873600688,32.954027286,1
80.5956934021,32.954027286,1
80.6040267354,32.954027286,1
80.6123600687,32.954027286,1
80.620693402,32.954027286,1
80.6290267353,32.954027286,1
80.6373600686,32.954027286,1
80.7540267348,32.954027286,1
80.7623600681,32.954027286,1
80.7706934014,32.954027286,1
80.7790267347,32.954027286,1
80.787360068,32.954027286,1
80.7956934013,32.954027286,1
80.8040267346,32.954027286,1
80.8123600679,32.954027286,1
80.8206934012,32.954027286,1
80.8290267345,32.954027286,1
80.8790267343,32.954027286,1
80.8873600676,32.954027286,1
80.8956934009,32.954027286,1
80.9040267342,32.954027286,1
80.9123600675,32.954027286,1
80.9206934008,32.954027286,1
80.9290267341,32.954027286,1
80.9373600674,32.954027286,1
80.9456934007,32.954027286,1
80.454026736,32.9456939527,1
80.4623600693,32.9456939527,1
80.5040267358,32.9456939527,1
80.5123600691,32.9456939527,1
80.5873600688,32.9456939527,1
80.5956934021,32.9456939527,1
80.620693402,32.9456939527,1
80.6290267353,32.9456939527,1
80.6373600686,32.9456939527,1
80.6456934019,32.9456939527,1
80.7706934014,32.9456939527,1
80.7790267347,32.9456939527,1
80.787360068,32.9456939527,1
80.7956934013,32.9456939527,1
80.8040267346,32.9456939527,1
80.8123600679,32.9456939527,1
80.8206934012,32.9456939527,1
80.8290267345,32.9456939527,1
80.8873600676,32.9456939527,1
80.8956934009,32.9456939527,1
80.9123600675,32.9456939527,1
80.9206934008,32.9456939527,1
80.9373600674,32.9456939527,1
80.9456934007,32.9456939527,1
80.4623600693,32.9373606194,1
80.5040267358,32.9373606194,1
80.5123600691,32.9373606194,1
80.5873600688,32.9373606194,1
80.5956934021,32.9373606194,1
80.6123600687,32.9373606194,1
80.620693402,32.9373606194,1
80.6290267353,32.9373606194,1
80.6373600686,32.9373606194,1
80.6456934019,32.9373606194,1
80.6540267352,32.9373606194,1
80.7706934014,32.9373606194,1
80.7790267347,32.9373606194,1
80.787360068,32.9373606194,1
80.7956934013,32.9373606194,1
80.8040267346,32.9373606194,1
80.8123600679,32.9373606194,1
80.8206934012,32.9373606194,1
80.8290267345,32.9373606194,1
80.8873600676,32.9373606194,1
