"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"PercLoss",-28.547,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"PercLoss",-28.204,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"PercLoss",-28.547,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"PercLoss",-28.204,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"PercLoss",-28.547,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"PercLoss",-28.204,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"PercLoss",-28.547,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"PercLoss",-28.204,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"PercGain",3.727,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"PercGain",3.487,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"PercGain",3.727,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"PercGain",3.487,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"PercGain",3.727,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"PercGain",3.487,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"PercGain",3.727,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"PercGain",3.487,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"SpeciesRangeChange",-24.821,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"SpeciesRangeChange",-24.717,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"SpeciesRangeChange",-24.821,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"SpeciesRangeChange",-24.717,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"SpeciesRangeChange",-24.821,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"SpeciesRangeChange",-24.717,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"SpeciesRangeChange",-24.821,"CurrentRangeSize",36949
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"SpeciesRangeChange",-24.717,"CurrentRangeSize",48213
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"PercLoss",-28.547,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"PercLoss",-28.204,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"PercLoss",-28.547,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"PercLoss",-28.204,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"PercLoss",-28.547,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"PercLoss",-28.204,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"PercLoss",-28.547,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"PercLoss",-28.204,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"PercGain",3.727,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"PercGain",3.487,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"PercGain",3.727,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"PercGain",3.487,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"PercGain",3.727,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"PercGain",3.487,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"PercGain",3.727,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"PercGain",3.487,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"SpeciesRangeChange",-24.821,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"SpeciesRangeChange",-24.717,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"SpeciesRangeChange",-24.821,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"SpeciesRangeChange",-24.717,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"SpeciesRangeChange",-24.821,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"SpeciesRangeChange",-24.717,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"SpeciesRangeChange",-24.821,"FutureRangeSize.NoDisp",26401
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"SpeciesRangeChange",-24.717,"FutureRangeSize.NoDisp",34615
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"PercLoss",-28.547,"FutureRangeSize.FullDisp",27778
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"PercLoss",-28.204,"FutureRangeSize.FullDisp",36296
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"PercLoss",-28.547,"FutureRangeSize.FullDisp",27778
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"PercLoss",-28.204,"FutureRangeSize.FullDisp",36296
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",26401,"PercLoss",-28.547,"FutureRangeSize.FullDisp",27778
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable1",34615,"PercLoss",-28.204,"FutureRangeSize.FullDisp",36296
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1377,"PercLoss",-28.547,"FutureRangeSize.FullDisp",27778
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Gain",1681,"PercLoss",-28.204,"FutureRangeSize.FullDisp",36296
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",10548,"PercGain",3.727,"FutureRangeSize.FullDisp",27778
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Loss",13598,"PercGain",3.487,"FutureRangeSize.FullDisp",36296
"Shorea.robusta_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",327190,"PercGain",3.727,"FutureRangeSize.FullDisp",27778
"Shorea.robusta_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Shorea.robusta","Stable0",315622,"PercGain",3.487,"FutureRangeSize.FullDisp",36296
