"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",13660,"PercLoss",-65.613,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",16913,"PercLoss",-56.74,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344628,"PercLoss",-65.613,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335450,"PercLoss",-56.74,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",7159,"PercLoss",-65.613,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",12895,"PercLoss",-56.74,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",69,"PercLoss",-65.613,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",258,"PercLoss",-56.74,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",13660,"PercGain",0.331,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",16913,"PercGain",0.866,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344628,"PercGain",0.331,"CurrentRangeSize",20819
