"species","latitude","longitude"
"Momordica charantia",30.66774,76.72467
"Arivela viscosa",30.66774,76.72467
"Calotropis procera",30.66774,76.72467
"Clematis grata",31.903056,76.918889
"Pedicularis longiflora",34.005171,77.818996
"Geranium himalayense",34.248161,77.619994
"Capparis spinosa",34.254373,77.0931
"Solanum nigrum",30.286517,77.97496
"Aegle marmelos",30.286517,77.97496
"Ziziphus mauritiana",30.286517,77.97496
"Ziziphus mauritiana",30.286517,77.97496
"Argemone mexicana",30.286517,77.97496
"Jasminum multiflorum",30.286517,77.97496
"Jasminum multiflorum",30.286517,77.97496
"Jasminum multiflorum",30.286517,77.97496
"Urena lobata",30.286517,77.97496
"Flacourtia indica",30.286517,77.97496
"Flemingia strobilifera",30.026968,78.158518
"Dioscorea pentaphylla",30.286517,77.97496
"Dioscorea pentaphylla",30.286517,77.97496
"Cucumis maderaspatanus",30.286517,77.97496
"Evolvulus nummularius",30.286517,77.97496
"Chenopodium album",30.286517,77.97496
"Ageratina adenophora",30.286517,77.97496
"Cirsium arvense",30.286517,77.97496
"Cirsium arvense",30.286517,77.97496
"Vallaris solanacea",30.286517,77.97496
"Vallaris solanacea",30.286517,77.97496
"Rauvolfia serpentina",30.286517,77.97496
"Centella asiatica",30.286517,77.97496
"Centella asiatica",30.286517,77.97496
"Chrysopogon serrulatus",30.627203,79.296484
"Viola pilosa",30.286517,77.97496
"Viola pilosa",30.286517,77.97496
"Viola pilosa",30.286517,77.97496
"Viola betonicifolia",30.286781,77.974474
"Viola betonicifolia",30.286781,77.974474
"Vitex negundo",30.286517,77.97496
"Lantana camara",30.286517,77.97496
"Pseudocaryopteris bicolor",30.286517,77.97496
"Pseudocaryopteris bicolor",30.286517,77.97496
"Callicarpa macrophylla",30.286517,77.97496
"Callicarpa macrophylla",30.286517,77.97496
"Callicarpa macrophylla",30.286517,77.97496
"Urtica dioica",30.328152,77.994213
"Urtica dioica",30.328152,77.994213
"Boehmeria virgata",30.286781,77.974474
"Grewia eriocarpa",30.286517,77.97496
"Corchorus olitorius",30.286517,77.97496
"Corchorus olitorius",30.286517,77.97496
"Helicteres isora",30.286517,77.97496
"Helicteres isora",30.286517,77.97496
"Helicteres isora",30.286517,77.97496
"Solanum viarum",30.286517,77.97496
"Solanum virginianum",30.286517,77.97496
"Solanum virginianum",30.286517,77.97496
"Veronica persica",30.286517,77.97496
"Veronica persica",30.286517,77.97496
"Mazus pumilus",30.286517,77.97496
"Mazus pumilus",30.286517,77.97496
"Bonnaya ciliata",30.286517,77.97496
"Bonnaya ciliata",30.286517,77.97496
"Bonnaya ciliata",30.286517,77.97496
"Lindenbergia indica",30.286517,77.97496
"Lindenbergia indica",30.286517,77.97496
"Lindenbergia indica",30.286517,77.97496
"Cardiospermum halicacabum",30.286517,77.97496
"Catunaregam spinosa",30.286517,77.97496
"Oldenlandia corymbosa",30.286517,77.97496
"Oldenlandia corymbosa",30.286517,77.97496
"Oldenlandia corymbosa",30.286517,77.97496
"Galium aparine",30.286517,77.97496
"Galium aparine",30.286517,77.97496
"Spermacoce articularis",30.286517,77.97496
"Rubus paniculatus",30.286517,77.97496
"Pyrus pashia",30.286517,77.97496
"Pyrus pashia",30.286517,77.97496
"Pyrus pashia",30.286517,77.97496
"Pyrus pashia",30.286517,77.97496
"Potentilla indica",30.286517,77.97496
"Potentilla indica",30.286517,77.97496
"Ventilago denticulata",30.286517,77.97496
"Ranunculus sceleratus",30.286517,77.97496
"Ranunculus sceleratus",30.286517,77.97496
"Ranunculus arvensis",30.286517,77.97496
"Ranunculus arvensis",30.286517,77.97496
"Clematis gouriana",30.286517,77.97496
"Androsace umbellata",30.286517,77.97496
"Androsace umbellata",30.286517,77.97496
"Lysimachia arvensis",30.286517,77.97496
"Lysimachia arvensis",30.286517,77.97496
"Rumex dentatus",30.286517,77.97496
"Rumex dentatus",30.286517,77.97496
"Rumex dentatus",30.286517,77.97496
"Polygala arvensis",30.283149,77.973774
"Polygala arvensis",30.283149,77.973774
"Argemone mexicana",30.286517,77.97496
"Oxalis debilis",30.283149,77.973774
"Oxalis debilis",30.283149,77.973774
"Zeuxine strateumatica",30.286517,77.97496
